K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.0,0.2,0.0,0.2,0.0,0.0
50,0.1,0.22,0.02,0.2,0.08,0.02
75,0.09333333333333334,0.25333333333333335,0.013333333333333334,0.24,0.08,0.013333333333333334
100,0.08,0.23,0.01,0.22,0.07,0.01
125,0.088,0.216,0.008,0.2,0.08,0.016
150,0.08,0.2,0.013333333333333334,0.18666666666666668,0.06666666666666667,0.013333333333333334
175,0.06857142857142857,0.19428571428571428,0.011428571428571429,0.17714285714285713,0.05714285714285714,0.017142857142857144
200,0.08,0.195,0.02,0.17,0.06,0.025
225,0.07555555555555556,0.19555555555555557,0.017777777777777778,0.1688888888888889,0.057777777777777775,0.02666666666666667
250,0.068,0.184,0.016,0.16,0.052,0.024
