K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.0,0.018518518518518517,0.0,0.03787878787878788,0.0,0.0
50,0.018518518518518517,0.040740740740740744,0.007575757575757576,0.07575757575757576,0.028985507246376812,0.007246376811594203
75,0.025925925925925925,0.07037037037037037,0.007575757575757576,0.13636363636363635,0.043478260869565216,0.007246376811594203
100,0.02962962962962963,0.08518518518518518,0.007575757575757576,0.16666666666666666,0.050724637681159424,0.007246376811594203
125,0.040740740740740744,0.1,0.007575757575757576,0.1893939393939394,0.07246376811594203,0.014492753623188406
150,0.044444444444444446,0.1111111111111111,0.015151515151515152,0.21212121212121213,0.07246376811594203,0.014492753623188406
175,0.044444444444444446,0.1259259259259259,0.015151515151515152,0.23484848484848486,0.07246376811594203,0.021739130434782608
200,0.05925925925925926,0.14444444444444443,0.030303030303030304,0.25757575757575757,0.08695652173913043,0.036231884057971016
225,0.06296296296296296,0.16296296296296298,0.030303030303030304,0.2878787878787879,0.09420289855072464,0.043478260869565216
250,0.06296296296296296,0.17037037037037037,0.030303030303030304,0.30303030303030304,0.09420289855072464,0.043478260869565216
