K,Generator Reconstruction Score All,Discriminator Reconstruction Score All,Generator Mean Diff Score All,Discriminator Mean Diff Score All,Generator Reconstruction Score Structural,Discriminator Reconstruction Score Structural,Generator Mean Diff Score Structural,Discriminator Mean Diff Score Structural,Generator Reconstruction Score Attribute,Discriminator Reconstruction Score Attribute,Generator Mean Diff Score Attribute,Discriminator Mean Diff Score Attribute
25,0.2,0.2,0.08,0.0,0.16,0.16,0.0,0.0,0.04,0.04,0.08,0.0
50,0.18,0.18,0.12,0.0,0.12,0.12,0.0,0.0,0.06,0.06,0.12,0.0
75,0.21333333333333335,0.21333333333333335,0.13333333333333333,0.0,0.14666666666666667,0.14666666666666667,0.04,0.0,0.06666666666666667,0.06666666666666667,0.09333333333333334,0.0
100,0.23,0.23,0.11,0.0,0.17,0.17,0.03,0.0,0.06,0.06,0.08,0.0
125,0.264,0.264,0.12,0.04,0.216,0.216,0.04,0.0,0.048,0.048,0.08,0.04
150,0.30666666666666664,0.30666666666666664,0.11333333333333333,0.04666666666666667,0.26,0.26,0.03333333333333333,0.0,0.04666666666666667,0.04666666666666667,0.08,0.04666666666666667
175,0.3028571428571429,0.3028571428571429,0.12,0.05142857142857143,0.2571428571428571,0.2571428571428571,0.045714285714285714,0.005714285714285714,0.045714285714285714,0.045714285714285714,0.07428571428571429,0.045714285714285714
200,0.33,0.33,0.14,0.065,0.28,0.28,0.055,0.01,0.05,0.05,0.085,0.055
225,0.3288888888888889,0.3288888888888889,0.13333333333333333,0.06222222222222222,0.27555555555555555,0.27555555555555555,0.05333333333333334,0.013333333333333334,0.05333333333333334,0.05333333333333334,0.08,0.04888888888888889
250,0.328,0.328,0.124,0.064,0.28,0.28,0.048,0.02,0.048,0.048,0.076,0.044
