K,Generator Reconstruction Score All,Discriminator Reconstruction Score All,Generator Mean Diff Score All,Discriminator Mean Diff Score All,Generator Reconstruction Score Structural,Discriminator Reconstruction Score Structural,Generator Mean Diff Score Structural,Discriminator Mean Diff Score Structural,Generator Reconstruction Score Attribute,Discriminator Reconstruction Score Attribute,Generator Mean Diff Score Attribute,Discriminator Mean Diff Score Attribute
25,0.014814814814814815,0.014814814814814815,0.007407407407407408,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0
50,0.018518518518518517,0.018518518518518517,0.007407407407407408,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0
75,0.05185185185185185,0.05185185185185185,0.014814814814814815,0.0,0.05303030303030303,0.05303030303030303,0.0,0.0,0.050724637681159424,0.050724637681159424,0.028985507246376812,0.0
100,0.07407407407407407,0.07407407407407407,0.018518518518518517,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.057971014492753624,0.057971014492753624,0.036231884057971016,0.0
125,0.1,0.1,0.02962962962962963,0.025925925925925925,0.13636363636363635,0.13636363636363635,0.015151515151515152,0.0,0.06521739130434782,0.06521739130434782,0.043478260869565216,0.050724637681159424
150,0.14444444444444443,0.14444444444444443,0.044444444444444446,0.040740740740740744,0.2196969696969697,0.2196969696969697,0.022727272727272728,0.0,0.07246376811594203,0.07246376811594203,0.06521739130434782,0.07971014492753623
175,0.2074074074074074,0.2074074074074074,0.05185185185185185,0.044444444444444446,0.3333333333333333,0.3333333333333333,0.030303030303030304,0.0,0.08695652173913043,0.08695652173913043,0.07246376811594203,0.08695652173913043
200,0.24814814814814815,0.24814814814814815,0.05925925925925926,0.05925925925925926,0.4015151515151515,0.4015151515151515,0.03787878787878788,0.007575757575757576,0.10144927536231885,0.10144927536231885,0.07971014492753623,0.10869565217391304
225,0.2814814814814815,0.2814814814814815,0.07407407407407407,0.06666666666666667,0.4696969696969697,0.4696969696969697,0.045454545454545456,0.015151515151515152,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.11594202898550725
250,0.3111111111111111,0.3111111111111111,0.0962962962962963,0.07407407407407407,0.5303030303030303,0.5303030303030303,0.06060606060606061,0.022727272727272728,0.10144927536231885,0.10144927536231885,0.13043478260869565,0.12318840579710146
