K,Generator Reconstruction Score All,Discriminator Reconstruction Score All,Generator Mean Diff Score All,Discriminator Mean Diff Score All,Generator Reconstruction Score Structural,Discriminator Reconstruction Score Structural,Generator Mean Diff Score Structural,Discriminator Mean Diff Score Structural,Generator Reconstruction Score Attribute,Discriminator Reconstruction Score Attribute,Generator Mean Diff Score Attribute,Discriminator Mean Diff Score Attribute
25,0.16,0.16,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.08,0.08,0.0
50,0.1,0.1,0.04,0.0,0.06,0.06,0.0,0.0,0.04,0.04,0.04,0.0
75,0.18666666666666668,0.18666666666666668,0.05333333333333334,0.0,0.09333333333333334,0.09333333333333334,0.0,0.0,0.09333333333333334,0.09333333333333334,0.05333333333333334,0.0
100,0.2,0.2,0.05,0.0,0.12,0.12,0.0,0.0,0.08,0.08,0.05,0.0
125,0.216,0.216,0.064,0.056,0.144,0.144,0.016,0.0,0.072,0.072,0.048,0.056
150,0.26,0.26,0.08,0.07333333333333333,0.19333333333333333,0.19333333333333333,0.02,0.0,0.06666666666666667,0.06666666666666667,0.06,0.07333333333333333
175,0.32,0.32,0.08,0.06857142857142857,0.25142857142857145,0.25142857142857145,0.022857142857142857,0.0,0.06857142857142857,0.06857142857142857,0.05714285714285714,0.06857142857142857
200,0.335,0.335,0.08,0.08,0.265,0.265,0.025,0.005,0.07,0.07,0.055,0.075
225,0.3377777777777778,0.3377777777777778,0.08888888888888889,0.08,0.27555555555555555,0.27555555555555555,0.02666666666666667,0.008888888888888889,0.06222222222222222,0.06222222222222222,0.06222222222222222,0.07111111111111111
250,0.336,0.336,0.104,0.08,0.28,0.28,0.032,0.012,0.056,0.056,0.072,0.068
