K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.2,0.04,0.16,0.0,0.04,0.04
50,0.1,0.06,0.08,0.02,0.02,0.04
75,0.06666666666666667,0.09333333333333334,0.05333333333333334,0.02666666666666667,0.013333333333333334,0.06666666666666667
100,0.07,0.07,0.04,0.02,0.03,0.05
125,0.064,0.088,0.032,0.024,0.032,0.064
150,0.06,0.1,0.02666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667
175,0.05142857142857143,0.09142857142857143,0.022857142857142857,0.02857142857142857,0.02857142857142857,0.06285714285714286
200,0.07,0.08,0.04,0.025,0.03,0.055
225,0.06222222222222222,0.07555555555555556,0.035555555555555556,0.022222222222222223,0.02666666666666667,0.05333333333333334
250,0.072,0.068,0.04,0.02,0.032,0.048
275,0.06909090909090909,0.06545454545454546,0.04,0.01818181818181818,0.02909090909090909,0.04727272727272727
300,0.07333333333333333,0.06666666666666667,0.04,0.023333333333333334,0.03333333333333333,0.043333333333333335
325,0.07692307692307693,0.06153846153846154,0.043076923076923075,0.021538461538461538,0.033846153846153845,0.04
