K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0058823529411764705
75,0.006024096385542169,0.012048192771084338,0.012345679012345678,0.0,0.0,0.023529411764705882
100,0.018072289156626505,0.018072289156626505,0.018518518518518517,0.012345679012345678,0.01764705882352941,0.023529411764705882
125,0.030120481927710843,0.02108433734939759,0.030864197530864196,0.018518518518518517,0.029411764705882353,0.023529411764705882
150,0.03614457831325301,0.030120481927710843,0.037037037037037035,0.030864197530864196,0.03529411764705882,0.029411764705882353
175,0.04819277108433735,0.03614457831325301,0.05555555555555555,0.037037037037037035,0.041176470588235294,0.03529411764705882
200,0.05120481927710843,0.045180722891566265,0.06172839506172839,0.04938271604938271,0.041176470588235294,0.041176470588235294
225,0.060240963855421686,0.045180722891566265,0.07407407407407407,0.04938271604938271,0.047058823529411764,0.041176470588235294
250,0.07228915662650602,0.0572289156626506,0.08641975308641975,0.07407407407407407,0.058823529411764705,0.041176470588235294
275,0.08132530120481928,0.07228915662650602,0.09259259259259259,0.08641975308641975,0.07058823529411765,0.058823529411764705
300,0.08734939759036145,0.08132530120481928,0.09876543209876543,0.09876543209876543,0.07647058823529412,0.06470588235294118
325,0.10240963855421686,0.09036144578313253,0.1111111111111111,0.1111111111111111,0.09411764705882353,0.07058823529411765
