,Generator Score,Discriminator Score
Reconstruction Score All,0.7084447975541566,0.7084447975541566
Reconstruction Score Structural,0.9201958145612701,0.9201958145612701
Reconstruction Score Attribute,0.4847547001062066,0.4847547001062066
Mean Diff Score All,0.4943429812740109,0.42726733310537646
Mean Diff Score Structural,0.4690675404208843,0.3507362549489985
Mean Diff Score Attribute,0.5190705994149323,0.5078462427099443
Mean Diff Score All Reverse,0.5056570187259891,0.5727326668946235
Mean Diff Score Structural Reverse,0.5309324595791157,0.6492637450510015
Mean Diff Score Attribute Reverse,0.4809294005850677,0.4921537572900557
