K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.0010152284263959391,0.005583756345177665,0.0020325203252032522,0.011178861788617886,0.0,0.0
50,0.0020304568527918783,0.008629441624365483,0.003048780487804878,0.017276422764227643,0.0010141987829614604,0.0
75,0.0020304568527918783,0.012690355329949238,0.003048780487804878,0.02540650406504065,0.0010141987829614604,0.0
100,0.003045685279187817,0.01979695431472081,0.0040650406504065045,0.03861788617886179,0.002028397565922921,0.0010141987829614604
125,0.004568527918781726,0.026903553299492386,0.0040650406504065045,0.0508130081300813,0.005070993914807302,0.0030425963488843813
150,0.005076142131979695,0.03299492385786802,0.00508130081300813,0.06097560975609756,0.005070993914807302,0.005070993914807302
175,0.005583756345177665,0.03807106598984772,0.006097560975609756,0.07113821138211382,0.005070993914807302,0.005070993914807302
200,0.006091370558375634,0.04517766497461929,0.007113821138211382,0.08434959349593496,0.005070993914807302,0.006085192697768763
225,0.006598984771573604,0.048223350253807105,0.007113821138211382,0.08943089430894309,0.006085192697768763,0.007099391480730223
250,0.006598984771573604,0.05583756345177665,0.007113821138211382,0.10467479674796748,0.006085192697768763,0.007099391480730223
275,0.007106598984771574,0.05989847715736041,0.008130081300813009,0.11077235772357724,0.006085192697768763,0.009127789046653144
300,0.008629441624365483,0.06598984771573604,0.01016260162601626,0.1209349593495935,0.007099391480730223,0.011156186612576065
325,0.009137055837563452,0.0715736040609137,0.01016260162601626,0.13211382113821138,0.008113590263691683,0.011156186612576065
350,0.01015228426395939,0.07461928934010152,0.01016260162601626,0.13719512195121952,0.010141987829614604,0.012170385395537525
375,0.01065989847715736,0.08274111675126904,0.01016260162601626,0.15345528455284552,0.011156186612576065,0.012170385395537525
400,0.013197969543147208,0.08781725888324873,0.014227642276422764,0.16260162601626016,0.012170385395537525,0.013184584178498986
425,0.013197969543147208,0.09340101522842639,0.014227642276422764,0.1717479674796748,0.012170385395537525,0.015212981744421906
450,0.014720812182741117,0.10355329949238579,0.01524390243902439,0.19004065040650406,0.014198782961460446,0.017241379310344827
475,0.016243654822335026,0.10913705583756345,0.016260162601626018,0.20020325203252032,0.016227180527383367,0.018255578093306288
500,0.017258883248730966,0.11522842639593908,0.016260162601626018,0.21138211382113822,0.018255578093306288,0.019269776876267748
525,0.017766497461928935,0.12081218274111676,0.016260162601626018,0.2225609756097561,0.019269776876267748,0.019269776876267748
550,0.019289340101522844,0.12588832487309645,0.018292682926829267,0.2306910569105691,0.02028397565922921,0.02129817444219067
575,0.02030456852791878,0.132994923857868,0.02032520325203252,0.24491869918699186,0.02028397565922921,0.02129817444219067
600,0.02081218274111675,0.13959390862944163,0.021341463414634148,0.2571138211382114,0.02028397565922921,0.02231237322515213
625,0.023350253807106598,0.14771573604060914,0.024390243902439025,0.27235772357723576,0.02231237322515213,0.02332657200811359
650,0.024365482233502538,0.15380710659898478,0.026422764227642278,0.28353658536585363,0.02231237322515213,0.02434077079107505
675,0.024873096446700507,0.15532994923857868,0.026422764227642278,0.2865853658536585,0.02332657200811359,0.02434077079107505
