K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.08,0.44,0.08,0.44,0.0,0.0
50,0.08,0.34,0.06,0.34,0.02,0.0
75,0.05333333333333334,0.3333333333333333,0.04,0.3333333333333333,0.013333333333333334,0.0
100,0.06,0.39,0.04,0.38,0.02,0.01
125,0.072,0.424,0.032,0.4,0.04,0.024
150,0.06666666666666667,0.43333333333333335,0.03333333333333333,0.4,0.03333333333333333,0.03333333333333333
175,0.06285714285714286,0.42857142857142855,0.03428571428571429,0.4,0.02857142857142857,0.02857142857142857
200,0.06,0.445,0.035,0.415,0.025,0.03
225,0.057777777777777775,0.4222222222222222,0.03111111111111111,0.39111111111111113,0.02666666666666667,0.03111111111111111
250,0.052,0.44,0.028,0.412,0.024,0.028
275,0.05090909090909091,0.4290909090909091,0.02909090909090909,0.39636363636363636,0.02181818181818182,0.03272727272727273
300,0.056666666666666664,0.43333333333333335,0.03333333333333333,0.39666666666666667,0.023333333333333334,0.03666666666666667
325,0.055384615384615386,0.4338461538461538,0.03076923076923077,0.4,0.024615384615384615,0.033846153846153845
350,0.05714285714285714,0.42,0.02857142857142857,0.38571428571428573,0.02857142857142857,0.03428571428571429
375,0.056,0.43466666666666665,0.02666666666666667,0.4026666666666667,0.029333333333333333,0.032
400,0.065,0.4325,0.035,0.4,0.03,0.0325
425,0.0611764705882353,0.4329411764705882,0.03294117647058824,0.3976470588235294,0.02823529411764706,0.03529411764705882
450,0.06444444444444444,0.4533333333333333,0.03333333333333333,0.41555555555555557,0.03111111111111111,0.03777777777777778
475,0.06736842105263158,0.45263157894736844,0.03368421052631579,0.4147368421052632,0.03368421052631579,0.037894736842105266
500,0.068,0.454,0.032,0.416,0.036,0.038
525,0.06666666666666667,0.4533333333333333,0.030476190476190476,0.41714285714285715,0.03619047619047619,0.03619047619047619
550,0.06909090909090909,0.4509090909090909,0.03272727272727273,0.4127272727272727,0.03636363636363636,0.038181818181818185
575,0.06956521739130435,0.45565217391304347,0.034782608695652174,0.4191304347826087,0.034782608695652174,0.036521739130434785
600,0.06833333333333333,0.4583333333333333,0.035,0.4216666666666667,0.03333333333333333,0.03666666666666667
625,0.0736,0.4656,0.0384,0.4288,0.0352,0.0368
650,0.07384615384615385,0.46615384615384614,0.04,0.42923076923076925,0.033846153846153845,0.036923076923076927
675,0.0725925925925926,0.4533333333333333,0.03851851851851852,0.4177777777777778,0.034074074074074076,0.035555555555555556
700,0.07428571428571429,0.4585714285714286,0.04,0.42,0.03428571428571429,0.03857142857142857
725,0.07310344827586207,0.4579310344827586,0.038620689655172416,0.416551724137931,0.034482758620689655,0.041379310344827586
750,0.072,0.4533333333333333,0.037333333333333336,0.412,0.034666666666666665,0.04133333333333333
775,0.07225806451612904,0.4529032258064516,0.03741935483870968,0.4129032258064516,0.03483870967741935,0.04
800,0.07,0.45125,0.03625,0.41125,0.03375,0.04
825,0.06787878787878789,0.4509090909090909,0.03515151515151515,0.4121212121212121,0.03272727272727273,0.03878787878787879
850,0.06705882352941177,0.44941176470588234,0.03529411764705882,0.41058823529411764,0.03176470588235294,0.03882352941176471
875,0.06628571428571428,0.44457142857142856,0.03428571428571429,0.4057142857142857,0.032,0.038857142857142854
900,0.06555555555555556,0.43777777777777777,0.034444444444444444,0.3988888888888889,0.03111111111111111,0.03888888888888889
925,0.06486486486486487,0.43783783783783786,0.03351351351351351,0.3989189189189189,0.03135135135135135,0.03891891891891892
950,0.06315789473684211,0.43894736842105264,0.03263157894736842,0.3989473684210526,0.030526315789473683,0.04
975,0.06358974358974359,0.4379487179487179,0.03282051282051282,0.39897435897435896,0.03076923076923077,0.038974358974358976
1000,0.064,0.436,0.033,0.398,0.031,0.038
1025,0.06341463414634146,0.4351219512195122,0.03219512195121951,0.39707317073170734,0.03121951219512195,0.03804878048780488
1050,0.06380952380952382,0.43142857142857144,0.03333333333333333,0.3933333333333333,0.030476190476190476,0.0380952380952381
1075,0.06511627906976744,0.42511627906976746,0.03348837209302326,0.3869767441860465,0.03162790697674418,0.03813953488372093
1100,0.06454545454545454,0.42454545454545456,0.03272727272727273,0.38636363636363635,0.031818181818181815,0.038181818181818185
1125,0.06311111111111112,0.42133333333333334,0.032,0.38222222222222224,0.03111111111111111,0.03911111111111111
1150,0.06434782608695652,0.4182608695652174,0.03304347826086956,0.38,0.03130434782608696,0.03826086956521739
1175,0.06723404255319149,0.4178723404255319,0.03574468085106383,0.38042553191489364,0.03148936170212766,0.0374468085106383
1200,0.07,0.4166666666666667,0.0375,0.38,0.0325,0.03666666666666667
1225,0.07020408163265306,0.41714285714285715,0.03836734693877551,0.3787755102040816,0.03183673469387755,0.03836734693877551
1250,0.0696,0.416,0.0384,0.3776,0.0312,0.0384
1275,0.07058823529411765,0.4196078431372549,0.038431372549019606,0.3811764705882353,0.03215686274509804,0.038431372549019606
1300,0.06923076923076923,0.42230769230769233,0.03769230769230769,0.3823076923076923,0.031538461538461536,0.04
1325,0.06943396226415094,0.41962264150943396,0.0369811320754717,0.37886792452830187,0.03245283018867925,0.040754716981132075
1350,0.06814814814814815,0.4192592592592593,0.0362962962962963,0.37925925925925924,0.03185185185185185,0.04
